Player,Team,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Noel Acciari,FLA,R,C,1991-12-01,Johnston,RI,USA,USA,70,203,--,--,--,20162017,N,19,2,2,4
Sebastian Aho,CAR,L,C,1997-07-26,Rauma,--,FIN,FIN,72,176,2015,2,35,20182019,N,15,5,7,12
Josh Anderson,MTL,R,R,1994-05-07,Burlington,ON,CAN,CAN,75,222,2012,4,95,20162017,N,10,1,2,3
Rasmus Andersson,CGY,R,D,1996-10-27,Malmö,--,SWE,SWE,73,214,2015,2,53,20182019,N,5,1,2,3
Sven Andrighetto,--,L,R,1993-03-21,Zurich,--,CHE,CHE,70,188,2013,3,86,20172018,N,5,0,0,0
Viktor Arvidsson,NSH,R,R,1993-04-08,Skellefteå,--,SWE,SWE,69,180,2014,4,112,20152016,N,6,0,0,0
Zach Aston-Reese,PIT,L,C,1994-08-10,Staten Island,NY,USA,USA,72,204,--,--,--,20172018,N,4,0,0,0
Cam Atkinson,CBJ,R,R,1989-06-05,Riverside,CT,USA,USA,68,175,2008,6,157,20132014,N,10,2,6,8
David Backes,ANA,R,R,1984-05-01,Minneapolis,MN,USA,USA,75,215,2003,2,62,20082009,N,15,2,3,5
Mikael Backlund,CGY,L,C,1989-03-17,Vasteras,--,SWE,SWE,72,200,2007,1,24,20142015,N,5,1,2,3
Nicklas Backstrom,WSH,L,C,1987-11-23,Gävle,--,SWE,SWE,73,206,2006,1,4,20072008,N,7,5,3,8
Josh Bailey,NYI,L,R,1989-10-02,Bowmanville,ON,CAN,CAN,73,200,2008,1,9,20122013,N,8,4,2,6
Ivan Barbashev,STL,L,C,1995-12-14,Moscow,--,RUS,RUS,72,187,2014,2,33,20162017,N,25,3,3,6
Tyson Barrie,EDM,R,D,1991-07-26,Victoria,BC,CAN,CAN,71,197,2009,3,64,20132014,N,12,1,7,8
Mathew Barzal,NYI,R,C,1997-05-26,Coquitlam,BC,CAN,CAN,72,187,2015,1,16,20182019,N,8,2,5,7
Anthony Beauvillier,NYI,L,L,1997-06-08,Sorel-Tracy,QC,CAN,CAN,71,182,2015,1,28,20182019,N,8,1,1,2
Pierre-Edouard Bellemare,COL,L,C,1985-03-06,Le Blanc-Mesnil,--,FRA,FRA,72,198,--,--,--,20152016,N,6,0,0,0
Jamie Benn,DAL,L,L,1989-07-18,Victoria,BC,CAN,CAN,74,210,2007,5,129,20132014,N,13,2,8,10
Sam Bennett,CGY,L,C,1996-06-20,Holland Landing,ON,CAN,CAN,73,195,2014,1,4,20142015,N,5,1,4,5
Patrice Bergeron,BOS,R,C,1985-07-24,Ancienne-Lorette,QC,CAN,CAN,73,195,2003,2,45,20032004,N,24,9,8,17
