Player,Team,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Noel Acciari,FLA,R,C,1991-12-01,Johnston,RI,USA,USA,70,203,--,--,--,20162017,N,12,1,1,2
Michael Amadio,LAK,R,C,1996-05-13,Sault Ste. Marie,ON,CAN,CAN,73,204,2014,3,90,20172018,N,1,0,1,1
Josh Anderson,MTL,R,R,1994-05-07,Burlington,ON,CAN,CAN,75,222,2012,4,95,20162017,N,6,1,2,3
Sven Andrighetto,--,L,R,1993-03-21,Zurich,--,CHE,CHE,70,188,2013,3,86,20172018,N,6,1,0,1
Joel Armia,MTL,R,R,1993-05-31,Pori,--,FIN,FIN,76,213,2011,1,16,20172018,N,13,2,0,2
Viktor Arvidsson,NSH,R,R,1993-04-08,Skellefteå,--,SWE,SWE,69,180,2014,4,112,20152016,N,13,5,4,9
Zach Aston-Reese,PIT,L,C,1994-08-10,Staten Island,NY,USA,USA,72,204,--,--,--,20172018,N,9,0,1,1
Cam Atkinson,CBJ,R,R,1989-06-05,Riverside,CT,USA,USA,68,175,2008,6,157,20132014,N,6,2,2,4
David Backes,ANA,R,R,1984-05-01,Minneapolis,MN,USA,USA,75,215,2003,2,62,20082009,N,12,2,1,3
Nicklas Backstrom,WSH,L,C,1987-11-23,Gävle,--,SWE,SWE,73,206,2006,1,4,20072008,N,20,5,18,23
Mark Barberio,--,L,D,1990-03-23,Montreal,QC,CAN,CAN,73,200,2008,6,152,20132014,N,6,0,1,1
Tyson Barrie,EDM,R,D,1991-07-26,Victoria,BC,CAN,CAN,71,197,2009,3,64,20132014,N,6,0,4,4
Jay Beagle,VAN,R,C,1985-10-16,Calgary,AB,CAN,CAN,75,210,--,--,--,20082009,N,23,2,6,8
Francois Beauchemin,--,L,D,1980-06-04,Sorel,QC,CAN,CAN,71,208,1998,3,75,20052006,N,4,0,0,0
Pierre-Edouard Bellemare,COL,L,C,1985-03-06,Le Blanc-Mesnil,--,FRA,FRA,72,198,--,--,--,20152016,N,20,0,3,3
Patrice Bergeron,BOS,R,C,1985-07-24,Ancienne-Lorette,QC,CAN,CAN,73,195,2003,2,45,20032004,N,11,6,10,16
Kevin Bieksa,--,R,D,1981-06-16,Grimsby,ON,CAN,CAN,73,197,2001,5,151,20062007,N,1,0,0,0
Oliver Bjorkstrand,CBJ,R,R,1995-04-10,Herning,--,DNK,DNK,72,177,2013,3,89,20162017,N,6,1,2,3
Mikkel Boedker,--,L,L,1989-12-16,Brondby,--,DNK,DNK,71,207,2008,1,8,20102011,N,10,1,5,6
Nick Bonino,MIN,L,C,1988-04-20,Hartford,CT,USA,USA,73,196,2007,6,173,20102011,N,13,2,3,5
Gabriel Bourque,--,L,L,1990-09-23,Rimouski,QC,CAN,CAN,70,206,2009,5,131,20112012,N,6,2,0,2
Travis Boyd,TOR,R,C,1993-09-14,Hopkins,MN,USA,USA,72,190,2011,6,177,20172018,N,1,0,0,0
Brian Boyle,--,L,C,1984-12-18,Hingham,MA,USA,USA,78,245,2003,1,26,20102011,N,5,0,0,0
Tyler Bozak,STL,R,C,1986-03-19,Regina,SK,CAN,CAN,73,199,--,--,--,20122013,N,7,2,2,4
Derick Brassard,--,L,C,1987-09-22,Hull,QC,CAN,CAN,73,202,2006,1,6,20122013,N,12,1,3,4
Jesper Bratt,NJD,L,L,1998-07-30,Stockholm,--,SWE,SWE,70,175,2016,6,162,20172018,N,1,0,0,0
Justin Braun,PHI,R,D,1987-02-10,Minneapolis,MN,USA,USA,74,205,2007,7,201,20102011,N,10,0,1,1
Jonas Brodin,MIN,L,D,1993-07-12,Karlstad,--,SWE,SWE,73,194,2011,1,10,20122013,N,5,0,2,2
Connor Brown,OTT,R,R,1994-01-14,Toronto,ON,CAN,CAN,72,186,2012,6,156,20162017,N,7,1,2,3
Dustin Brown,LAK,R,R,1984-11-04,Ithaca,NY,USA,USA,72,210,2003,1,13,20092010,N,4,0,1,1
JT Brown,--,R,R,1990-07-02,Burnsville,MN,USA,USA,70,182,--,--,--,20132014,N,4,0,0,0
