Player,Team,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Justin Abdelkader,--,L,L,1987-02-25,Muskegon,MI,USA,USA,74,213,2005,2,42,20082009,N,5,1,0,1
Pontus Aberg,PIT,R,L,1993-09-23,Stockholm,--,SWE,SWE,72,194,2012,2,37,20152016,N,2,0,0,0
Karl Alzner,--,L,D,1988-09-24,Burnaby,BC,CAN,CAN,75,213,2007,1,5,20092010,N,12,0,2,2
Joakim Andersson,--,L,C,1989-02-05,Munkedal,--,SWE,SWE,74,211,2007,3,88,20122013,N,5,0,1,1
Andy Andreoff,PHI,L,C,1991-05-17,Pickering,ON,CAN,CAN,73,203,2011,3,80,20152016,N,1,0,0,0
Artem Anisimov,OTT,L,C,1988-05-24,Yaroslavl,--,RUS,RUS,76,199,2006,2,54,20082009,N,7,3,0,3
Viktor Arvidsson,NSH,R,R,1993-04-08,Skellefteå,--,SWE,SWE,69,180,2014,4,112,20152016,N,14,1,1,2
Andreas Athanasiou,--,L,L,1994-08-06,Woodbridge,ON,CAN,CAN,74,188,2012,4,110,20152016,N,5,1,0,1
David Backes,ANA,R,R,1984-05-01,Minneapolis,MN,USA,USA,75,215,2003,2,62,20082009,N,20,7,7,14
Nicklas Backstrom,WSH,L,C,1987-11-23,Gävle,--,SWE,SWE,73,206,2006,1,4,20072008,N,12,2,9,11
Josh Bailey,NYI,L,R,1989-10-02,Bowmanville,ON,CAN,CAN,73,200,2008,1,9,20122013,N,9,2,1,3
Aleksander Barkov,FLA,L,C,1995-09-02,Tampere,--,FIN,FIN,75,210,2013,1,2,20152016,N,6,2,1,3
Cody Bass,--,R,C,1987-01-07,Owen Sound,ON,CAN,CAN,72,205,2005,4,95,20072008,N,6,0,0,0
Jay Beagle,VAN,R,C,1985-10-16,Calgary,AB,CAN,CAN,75,210,--,--,--,20082009,N,12,3,0,3
Pierre-Edouard Bellemare,COL,L,C,1985-03-06,Le Blanc-Mesnil,--,FRA,FRA,72,198,--,--,--,20152016,N,5,0,1,1
Jamie Benn,DAL,L,L,1989-07-18,Victoria,BC,CAN,CAN,74,210,2007,5,129,20132014,N,13,5,10,15
Jordie Benn,VAN,L,D,1987-07-26,Victoria,BC,CAN,CAN,74,199,--,--,--,20132014,N,1,0,0,0
Beau Bennett,--,R,R,1991-11-27,Gardena,CA,USA,USA,74,195,2010,1,20,20122013,N,1,0,0,0
Patrik Berglund,--,L,C,1988-06-02,Västerås,--,SWE,SWE,76,215,2006,1,25,20082009,N,20,4,5,9
Steve Bernier,--,R,R,1985-03-31,Quebec City,QC,CAN,CAN,75,225,2003,1,16,20052006,N,6,0,0,0
Kevin Bieksa,--,R,D,1981-06-16,Grimsby,ON,CAN,CAN,73,197,2001,5,151,20062007,N,6,0,1,1
Anthony Bitetto,NYR,L,D,1990-07-15,Island Park,NY,USA,USA,73,210,2010,6,168,20152016,N,14,0,0,0
Nick Bjugstad,MIN,R,C,1992-07-17,Minneapolis,MN,USA,USA,78,215,2010,1,19,20152016,N,5,2,2,4
