Player,Team,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Justin Abdelkader,--,L,L,1987-02-25,Muskegon,MI,USA,USA,74,213,2005,2,42,20082009,N,5,0,2,2
Karl Alzner,--,L,D,1988-09-24,Burnaby,BC,CAN,CAN,75,213,2007,1,5,20092010,N,14,2,2,4
Joakim Andersson,--,L,C,1989-02-05,Munkedal,--,SWE,SWE,74,211,2007,3,88,20122013,N,7,1,1,2
David Backes,ANA,R,R,1984-05-01,Minneapolis,MN,USA,USA,75,215,2003,2,62,20082009,N,6,1,1,2
Mikael Backlund,CGY,L,C,1989-03-17,Vasteras,--,SWE,SWE,72,200,2007,1,24,20142015,N,11,1,1,2
Nicklas Backstrom,WSH,L,C,1987-11-23,Gävle,--,SWE,SWE,73,206,2006,1,4,20072008,N,14,3,5,8
Sven Baertschi,VAN,L,L,1992-10-05,Bern,--,CHE,CHE,71,190,2011,1,13,20142015,N,2,0,0,0
Josh Bailey,NYI,L,R,1989-10-02,Bowmanville,ON,CAN,CAN,73,200,2008,1,9,20122013,N,7,2,3,5
Mark Barberio,--,L,D,1990-03-23,Montreal,QC,CAN,CAN,73,200,2008,6,152,20132014,N,1,0,0,0
Victor Bartley,--,L,D,1988-02-17,Ottawa,ON,CAN,CAN,72,217,--,--,--,20142015,N,4,0,0,0
Jay Beagle,VAN,R,C,1985-10-16,Calgary,AB,CAN,CAN,75,210,--,--,--,20082009,N,14,1,4,5
Francois Beauchemin,--,L,D,1980-06-04,Sorel,QC,CAN,CAN,71,208,1998,3,75,20052006,N,16,0,9,9
Nathan Beaulieu,WPG,L,D,1992-12-05,Strathroy,ON,CAN,CAN,74,200,2011,1,17,20132014,N,5,0,1,1
Taylor Beck,--,R,L,1991-05-13,St. Catharines,ON,CAN,CAN,74,203,2009,3,70,20142015,N,5,0,0,0
Matt Beleskey,--,L,L,1988-06-07,Windsor,ON,CAN,CAN,72,207,2006,4,112,20102011,N,16,8,1,9
Beau Bennett,--,R,R,1991-11-27,Gardena,CA,USA,USA,74,195,2010,1,20,20122013,N,2,0,0,0
Sam Bennett,CGY,L,C,1996-06-20,Holland Landing,ON,CAN,CAN,73,195,2014,1,4,20142015,N,11,3,1,4
Sean Bergenheim,--,L,L,1984-02-08,Helsinki,--,FIN,FIN,71,201,2002,1,22,20102011,N,3,0,0,0
Patrik Berglund,--,L,C,1988-06-02,Västerås,--,SWE,SWE,76,215,2006,1,25,20082009,N,6,2,2,4
Bryan Bickell,--,L,L,1986-03-09,Bowmanville,ON,CAN,CAN,76,223,2004,2,41,20092010,N,18,0,5,5
Kevin Bieksa,--,R,D,1981-06-16,Grimsby,ON,CAN,CAN,73,197,2001,5,151,20062007,N,6,0,0,0
Brandon Bollig,--,L,L,1987-01-31,St. Charles,MO,USA,USA,74,220,--,--,--,20112012,N,11,2,0,2
Nick Bonino,MIN,L,C,1988-04-20,Hartford,CT,USA,USA,73,196,2007,6,173,20102011,N,6,1,2,3
Mark Borowiecki,NSH,L,D,1989-07-12,Ottawa,ON,CAN,CAN,74,204,2008,5,139,20142015,N,6,0,0,0
Lance Bouma,--,L,L,1990-03-25,Provost,AB,CAN,CAN,74,208,2008,3,78,20142015,N,2,0,0,0
Gabriel Bourque,--,L,L,1990-09-23,Rimouski,QC,CAN,CAN,70,206,2009,5,131,20112012,N,5,0,0,0
Jay Bouwmeester,--,L,D,1983-09-27,Edmonton,AB,CAN,CAN,76,206,2002,1,3,20122013,N,6,0,0,0
Johnny Boychuk,NYI,R,D,1984-01-19,Edmonton,AB,CAN,CAN,74,227,2002,2,61,20092010,N,7,0,2,2
Brian Boyle,--,L,C,1984-12-18,Hingham,MA,USA,USA,78,245,2003,1,26,20102011,N,25,1,1,2
Dan Boyle,--,R,D,1976-07-12,Ottawa,ON,CAN,CAN,71,194,--,--,--,20022003,N,19,3,7,10
Derick Brassard,--,L,C,1987-09-22,Hull,QC,CAN,CAN,73,202,2006,1,6,20122013,N,19,9,7,16
TJ Brodie,TOR,L,D,1990-06-07,Chatham,ON,CAN,CAN,73,185,2008,4,114,20142015,N,11,1,4,5
Jonas Brodin,MIN,L,D,1993-07-12,Karlstad,--,SWE,SWE,73,194,2011,1,10,20122013,N,10,0,0,0
Kyle Brodziak,--,R,C,1984-05-25,St. Paul,AB,CAN,CAN,74,205,2003,7,214,20122013,N,10,0,0,0
Troy Brouwer,--,R,R,1985-08-17,Vancouver,BC,CAN,CAN,75,213,2004,7,214,20082009,N,14,0,3,3
JT Brown,--,R,R,1990-07-02,Burnsville,MN,USA,USA,70,182,--,--,--,20132014,N,24,1,1,2
Andre Burakovsky,COL,L,L,1995-02-09,Klagenfurt,--,AUT,SWE,75,201,2013,1,23,20142015,N,11,2,1,3
Alexandre Burrows,--,L,R,1981-04-11,Pincourt,QC,CAN,CAN,73,197,--,--,--,20062007,N,3,0,2,2
Dustin Byfuglien,--,R,D,1985-03-27,Roseau,MN,USA,USA,77,260,2003,8,245,20082009,N,4,0,1,1
