Player,Team,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Noel Acciari,FLA,R,C,1991-12-01,Johnston,RI,USA,USA,70,203,--,--,--,20162017,N,4,0,0,0
Sebastian Aho,CAR,L,C,1997-07-26,Rauma,--,FIN,FIN,72,176,2015,2,35,20182019,N,8,3,9,12
Rasmus Andersson,CGY,R,D,1996-10-27,Malmö,--,SWE,SWE,73,214,2015,2,53,20182019,N,10,3,2,5
Mason Appleton,WPG,R,C,1996-01-15,Green Bay,WI,USA,USA,74,193,2015,6,168,20192020,N,1,0,0,0
Josh Archibald,EDM,R,R,1992-10-06,Regina,SK,CAN,CAN,70,176,2011,6,174,20162017,N,4,1,0,1
Joel Armia,MTL,R,R,1993-05-31,Pori,--,FIN,FIN,76,213,2011,1,16,20172018,N,10,3,2,5
Viktor Arvidsson,NSH,R,R,1993-04-08,Skellefteå,--,SWE,SWE,69,180,2014,4,112,20152016,N,4,3,0,3
Zach Aston-Reese,PIT,L,C,1994-08-10,Staten Island,NY,USA,USA,72,204,--,--,--,20172018,N,4,0,1,1
Andreas Athanasiou,--,L,L,1994-08-06,Woodbridge,ON,CAN,CAN,74,188,2012,4,110,20152016,N,4,0,0,0
Cam Atkinson,CBJ,R,R,1989-06-05,Riverside,CT,USA,USA,68,175,2008,6,157,20132014,N,8,3,5,8
Nicolas Aube-Kubel,PHI,R,R,1996-05-10,Slave Lake,AB,CAN,CAN,71,187,2014,2,48,20192020,N,13,2,1,3
Mikael Backlund,CGY,L,C,1989-03-17,Vasteras,--,SWE,SWE,72,200,2007,1,24,20142015,N,10,4,2,6
Nicklas Backstrom,WSH,L,C,1987-11-23,Gävle,--,SWE,SWE,73,206,2006,1,4,20072008,N,5,0,1,1
Josh Bailey,NYI,L,R,1989-10-02,Bowmanville,ON,CAN,CAN,73,200,2008,1,9,20122013,N,22,2,18,20
Ivan Barbashev,STL,L,C,1995-12-14,Moscow,--,RUS,RUS,72,187,2014,2,33,20162017,N,3,0,0,0
Aleksander Barkov,FLA,L,C,1995-09-02,Tampere,--,FIN,FIN,75,210,2013,1,2,20152016,N,4,1,3,4
Tyson Barrie,EDM,R,D,1991-07-26,Victoria,BC,CAN,CAN,71,197,2009,3,64,20132014,N,5,0,0,0
Matt Bartkowski,MIN,L,D,1988-06-04,Pittsburgh,PA,USA,USA,73,198,2008,7,190,20122013,N,1,0,0,0
Mathew Barzal,NYI,R,C,1997-05-26,Coquitlam,BC,CAN,CAN,72,187,2015,1,16,20182019,N,22,5,12,17
Jay Beagle,VAN,R,C,1985-10-16,Calgary,AB,CAN,CAN,75,210,--,--,--,20082009,N,17,1,1,2
Ethan Bear,EDM,R,D,1997-06-26,Regina,SK,CAN,CAN,71,197,2015,5,124,20192020,N,4,0,0,0
Nathan Beaulieu,WPG,L,D,1992-12-05,Strathroy,ON,CAN,CAN,74,200,2011,1,17,20132014,N,4,0,1,1
Anthony Beauvillier,NYI,L,L,1997-06-08,Sorel-Tracy,QC,CAN,CAN,71,182,2015,1,28,20182019,N,22,9,5,14
Pierre-Edouard Bellemare,COL,L,C,1985-03-06,Le Blanc-Mesnil,--,FRA,FRA,72,198,--,--,--,20152016,N,15,2,1,3
Alex Belzile,MTL,R,R,1991-08-31,Riviere-du-Loup,QC,CAN,CAN,72,192,--,--,--,20192020,N,6,0,1,1
Emil Bemstrom,CBJ,R,C,1999-06-01,Nykoping,--,SWE,SWE,72,190,2017,4,117,20192020,N,5,0,0,0
Jamie Benn,DAL,L,L,1989-07-18,Victoria,BC,CAN,CAN,74,210,2007,5,129,20132014,N,27,8,11,19
Jordie Benn,VAN,L,D,1987-07-26,Victoria,BC,CAN,CAN,74,199,--,--,--,20132014,N,7,0,0,0
Sam Bennett,CGY,L,C,1996-06-20,Holland Landing,ON,CAN,CAN,73,195,2014,1,4,20142015,N,10,5,3,8
Matt Benning,NSH,R,D,1994-05-25,Edmonton,AB,CAN,CAN,73,203,2012,6,175,20162017,N,4,0,1,1
Patrice Bergeron,BOS,R,C,1985-07-24,Ancienne-Lorette,QC,CAN,CAN,73,195,2003,2,45,20032004,N,13,2,6,8
Anders Bjork,BOS,L,L,1996-08-05,Mequon,WI,USA,USA,72,190,2014,5,146,20192020,N,10,0,1,1
Oliver Bjorkstrand,CBJ,R,R,1995-04-10,Herning,--,DNK,DNK,72,177,2013,3,89,20162017,N,10,3,0,3
Sammy Blais,STL,L,L,1996-06-17,Montmagny,QC,CAN,CAN,74,205,2014,6,176,20182019,N,8,1,3,4
Teddy Blueger,PIT,L,C,1994-08-15,Riga,--,LVA,LVA,72,185,2012,2,52,20182019,N,4,1,0,1
Brock Boeser,VAN,R,R,1997-02-25,Burnsville,MN,USA,USA,73,208,2015,1,23,20192020,N,17,4,7,11
Zach Bogosian,TOR,R,D,1990-07-15,Massena,NY,USA,USA,74,200,2008,1,3,20192020,N,20,0,4,4
Nick Bonino,MIN,L,C,1988-04-20,Hartford,CT,USA,USA,73,196,2007,6,173,20102011,N,4,1,0,1
Adam Boqvist,CHI,R,D,2000-08-15,Falun,--,SWE,SWE,71,179,2018,1,8,20192020,N,8,0,0,0
Robert Bortuzzo,STL,R,D,1989-03-18,Thunder Bay,ON,CAN,CAN,76,216,2007,3,78,20132014,N,3,0,0,0
Gabriel Bourque,--,L,L,1990-09-23,Rimouski,QC,CAN,CAN,70,206,2009,5,131,20112012,N,3,0,0,0
Johnny Boychuk,NYI,R,D,1984-01-19,Edmonton,AB,CAN,CAN,74,227,2002,2,61,20092010,N,3,0,0,0
Travis Boyd,TOR,R,C,1993-09-14,Hopkins,MN,USA,USA,72,190,2011,6,177,20172018,N,4,1,0,1
Brian Boyle,--,L,C,1984-12-18,Hingham,MA,USA,USA,78,245,2003,1,26,20102011,N,4,1,0,1
Tyler Bozak,STL,R,C,1986-03-19,Regina,SK,CAN,CAN,73,199,--,--,--,20122013,N,8,0,2,2
Derick Brassard,--,L,C,1987-09-22,Hull,QC,CAN,CAN,73,202,2006,1,6,20122013,N,18,2,6,8
Justin Braun,PHI,R,D,1987-02-10,Minneapolis,MN,USA,USA,74,205,2007,7,201,20102011,N,16,0,2,2
TJ Brodie,TOR,L,D,1990-06-07,Chatham,ON,CAN,CAN,73,185,2008,4,114,20142015,N,10,1,3,4
Jonas Brodin,MIN,L,D,1993-07-12,Karlstad,--,SWE,SWE,73,194,2011,1,10,20122013,N,4,0,2,2
Troy Brouwer,--,R,R,1985-08-17,Vancouver,BC,CAN,CAN,75,213,2004,7,214,20082009,N,4,1,0,1
